Summary,Issue Type,Description,Priority,Severity,Labels,Environment,Steps to Reproduce,Expected Result,Actual Result,Status
Checkout API returns 500 Internal Server Error,Bug,Checkout fails when submitting a valid order request. Backend API /api/orders returns 500.,Critical,Critical,"backend,checkout,api","Chrome v119, Windows 10",1. Login 2. Add item to cart 3. Click Checkout 4. Submit order,Order confirmation page should appear with 200 OK response.,"API returns 500, no confirmation displayed.",To Do
Add to Cart button not working for some products,Bug,"Clicking ""Add to Cart"" throws console error: TypeError: price undefined",High,Critical,"frontend,cart","Chrome v119, Windows 10","1. Search ""Perfume"" 2. Click Add to Cart","Item should be added to cart, count increase.",No cart update; console shows JS error.,To Do
Login allows access with invalid password,Bug,Authentication validation missing; invalid password still logs in.,High,Major,"auth,security","Chrome v118, Windows 10",1. Enter valid email 2. Enter wrong password 3. Click Login,Should show “Invalid credentials.”,User logged in without validation.,To Do
Footer missing on mobile layout,Bug,Footer section disappears in mobile responsive view.,Medium,Minor,"ui,responsive",Chrome DevTools – iPhone 12,1. Open app 2. Switch to mobile view 3. Scroll down,Footer should appear.,Footer not visible.,To Do
Price filter not applying correctly,Bug,Products outside selected price range still appear.,Medium,Major,"frontend,search","Chrome v119, Windows 10",1. Apply price filter 2. Set range 1000–2000,Only products in range displayed.,Products outside range shown.,To Do
Checkout load time exceeds 4 seconds,Bug,Performance issue – checkout page loads too slowly.,Low,Minor,"performance,checkout","Chrome v119, Windows 10",1. Go to checkout 2. Observe load time,Page should load <3 seconds.,Page loads in 4.8s.,To Do
Add to Cart still failing after bug fix,Bug,Regression bug – same issue persists after patch.,High,Critical,"regression,cart","Chrome v119, Windows 10",1. Retest Add to Cart after fix 2. Observe behavior,Cart should function normally.,Still throws “price undefined” error.,To Do
Product search not returning results for “Shampoo”,Bug,Search returns blank despite valid data existing.,Medium,Major,"frontend,search,api","Chrome v119, Windows 10",1. Enter keyword “Shampoo” 2. Press Search,Products containing Shampoo should appear.,“No products found.”,To Do
Slight button misalignment on mobile,Bug,Checkout button overlaps on small screen.,Low,Minor,"ui,responsive",Chrome DevTools – Pixel 5,1. Resize browser 2. Check checkout button alignment,Buttons should be properly aligned.,Overlaps with address field.,To Do
Successful checkout not triggering order confirmation email,Bug,Order placed successfully but confirmation email not sent.,Medium,Major,"backend,checkout,notification","Chrome v119, Windows 10",1. Complete checkout 2. Check email inbox,Email confirmation should be sent.,No confirmation email received.,To Do
